_id,Name,Select,Star,Comment
658bae42349f415aebfa51dd,kmsu*****,"선택 옵션 도서선택:개념원리 중학 수학 3-2,시리즈선택:●●22년2학기",5,학기마다 주문합니다. 아이가 교과서 대용으로 보기 좋대요.
658bae42349f415aebfa51de,kosa****,선택 옵션 선택:●개념원리 RPM 중학수학 2-1,5,수학학원 교재입니다 그런데 어려운지 자꾸 틀리네요
658bae42349f415aebfa51df,아다마스,선택 옵션 선택:●개념원리 RPM 중학수학 2-2,5,중학교 1학년부터 풀고 있는 문제집입니다
658bae42349f415aebfa51e0,blue****,선택 옵션 선택:●개념원리 중학수학 3-1,5,노트도 사은품으로 주시고 좋아요
658bae42349f415aebfa51e1,요묘,선택 옵션 선택:●개념원리 중학수학 3-1,5,"바로 배송해 주셨어요\n주문 번거로와 1,2 학기꺼 같이 샀어요"
658bae42349f415aebfa51e2,dyth***,선택 옵션 선택:●개념원리 중학수학 1-2,4,원래 쓰는 책이어서 구매했어요.
658bae42349f415aebfa51e3,blin*****,선택 옵션 선택:●개념원리 RPM 중학수학 1-2,5,배송 빠르게 왔고 서점보다 저렴하네요
658bae42349f415aebfa51e4,ssye*****,선택 옵션 선택:●개념원리 중학수학 1-2,5,집앞까지 편안히 받을수 있어 감사합니다
658bae42349f415aebfa51e5,ygi9**,선택 옵션 선택:●개념원리 중학수학 2-2,5,열공하고있어요 양 수준적당해요
658bae42349f415aebfa51e6,ahj7***,선택 옵션 선택:●개념원리 RPM 중학수학 3-2,5,할인가격에 깨끗한책 구매요.
658bae42349f415aebfa51e7,cent******,"선택 옵션 도서선택:개념원리 중학 수학 3-1,시리즈선택:●●22년1학기",5,늘 재구매 하게되는 개념원리 시리즈!!
658bae43349f415aebfa51e8,khwk**,"선택 옵션 도서선택:개념원리 문제기본서 RPM 중 1-2,시리즈선택:●●22년2학기",5,2학기 예습용으로 구매했어요\n개념원리랑 유형 연습까지 할 수 있어서 좋아요.
658bae43349f415aebfa51e9,khwk**,"선택 옵션 도서선택:개념원리 중학수학 1-2,시리즈선택:●●22년2학기",5,2학기 예습용으로 구매했어요\n개념원리랑 유형 연습까지 할 수 있어서 좋아요
658bae43349f415aebfa51ea,먀먀짱,선택 옵션 ●●22년1학기,5,학원에서 공부하는 문제집 입니다. 해설이 있어서 공부에 도움이됩니다.
658bae43349f415aebfa51eb,grat******,선택 옵션 ●●22년1학기,5,시작하는 교재로 좋아요. 좋은 가격으로 구매했어요~
658bae43349f415aebfa51ec,날아줘로라,선택 옵션 선택:●개념원리 RPM 중학수학 1-1,5,갑자기 온라인서점들이 15천이상무료 배송을해서 ㅋ 카드할인까지받고 좋네요.
658bae43349f415aebfa51ed,good****,선택 옵션 학년선택:●개념원리 중학수학 2-2,5,잘받았는데 박스는 뭉개져있었는데 문제집은 안전해서 다행이에요
658bae43349f415aebfa51ee,소오름,선택 옵션 선택:●개념원리 RPM 중학수학 1-1,5,빠르게 출곳내주셨는데\n택배사에서 늦게 보내졌어요.\n처음구매하는데 \n아이와   잘 맞았으면 좋겠어요 .\n\n사은품 노트도 감사합니다.
658bae43349f415aebfa51ef,2362***************,선택 옵션 학년선택:●개념원리 중학수학 1-2,5,2학기예습때문에 샀는데 배송도 빠르고 비가와서 젖을까 걱정했는데 비닐로 꼼꼼하게 포장하셔서  잘받았어요^^
658bae43349f415aebfa51f0,osy4***,선택 옵션 ●●22년1학기,5,학원에서 푸는 문제집입니다 개념 잡아주기 좋아요\n중간정도 난이도의 문제집입니다
658bae43349f415aebfa51f1,레몬하트,"선택 옵션 도서선택:개념원리 중학 수학 2-2,시리즈선택:●●22년2학기",5,배송빠르고좋아요\n학원교재로 사용.\n굿입니다
658bae43349f415aebfa51f2,bsrh****,선택 옵션 선택:●개념원리 중학수학 1-2,5,빠르게 잘받았어요. 포장은찌그러졌지만 책은깨끗.하게잘배송되었어요
658bae43349f415aebfa51f3,seoj*****,"선택 옵션 도서선택:개념원리 중학 수학 2-2,시리즈선택:●●22년2학기",5,기말고사 끝나고 2학기 준비를 위해 구입했어요\n잘 풀어서 실력향상에 도움이 되었으면 좋겠네요
658bae44349f415aebfa51f4,dazz*****,선택 옵션 학년선택:●개념원리 중학수학 1-1,5,개념 설명이 자세해서 좋아요.
658bae44349f415aebfa51f5,dazz*****,선택 옵션 학년선택:●개념원리 중학수학 1-2,5,개념 설명이 자세해서 좋아요
658bae44349f415aebfa51f6,ykki**,선택 옵션 선택:●개념원리 중학수학 1-2,4,배송 잘 되었고 포장도 좋습니다. 노트 2권을 선물로 주셨네요. 감사합니다.
658bae44349f415aebfa51f7,raon***,선택 옵션 학년선택:●개념원리 중학수학 1-2,5,1학기때도 개념원리로 공부했는데\n2학기때 공부하려고 미리구입했습니다 \n배송빠르고 잘 왔네요~
658bae44349f415aebfa51f8,malu**,선택 옵션 선택:●개념원리 중학수학 1-1,5,중등 시작 개념서로 많이 추천해주셔서 구매했어요.\n열심히 공부할 일만 남았네요^^
658bae44349f415aebfa51f9,osy4***,선택 옵션 ●●22년2학기,5,배송은 빨랐는데 사은품이 노트2권 펜1개인데\n작은메모장한개만 와서 다시 보내주셨는데 메모장하나만 보내셨어요 볼펜은 없네요
658bae44349f415aebfa51fa,k486*,선택 옵션 ●●22년2학기,5,아이가 항상 쓰는건데 배송도 빠르고 포장상태도 좋고 아주 만족합니다.
658bae44349f415aebfa51fb,gosa**,선택 옵션 선택:●개념원리 RPM 중학수학 1-1,5,개념익히는 용으로 좋아요. 쉬운 수준의 문제들이 주를 이뤄서 아이들이 무난히 풀어요. 
658bae44349f415aebfa51fc,민여,선택 옵션 선택:●개념원리 중학수학 1-1,5,중학교 가기전에 구매했는데\n좋아요. 많이 사는 이유가 있네요~
658bae44349f415aebfa51fd,kslc*,"선택 옵션 도서선택:개념원리 중학 수학 3-2,시리즈선택:●●22년2학기",5,배송도  빠르고  사은품도  있고  저렴하게  잘  구입했어요
658bae44349f415aebfa51fe,sons*****,선택 옵션 학년선택:●개념원리 RPM 중학수학 3-2,5,배송이 빨라서 좋네요\n방학중에 공부하기에 좋은 교재라는 생각이 듭니다
658bae44349f415aebfa51ff,nn35**,선택 옵션 ●●22년2학기,5,"무거운책~~\n편하게 받을수있어,  배송도 빨라서 좋네요\n요즘 책값 비싼데 카드할인도받고  항상 애용합니다"
658bae45349f415aebfa5200,소오름,선택 옵션 선택:●개념원리 중학수학 1-1,5,아직 풀어보진 않았어요.\n처음 구매해보는데 아이와 잘 맞길바래요.\n사은품노트도 감사합니자.
658bae45349f415aebfa5201,상추김밥,"선택 옵션 도서선택:개념원리 중학수학 1-1,시리즈선택:●●22년1학기",4,예비중 수학예습하려고 구입함. 워낙 유명한 교재임. 동영상 강의도 같이 들어보려고 함. 굳이 학원 수업 불필요.
658bae45349f415aebfa5202,mir7*****,"선택 옵션 도서선택:개념원리 RPM 알피엠 중학 수학 2-1,시리즈선택:●●22년1학기",5,하루만에 배송 ! 감사합니다\n문제집으로 좋습니다 문제만으로 가득해요~~
658bae45349f415aebfa5203,k320***,선택 옵션 선택:●개념원리 중학수학 1-1,5,만 하루도 안되서 배송되었어요.\n사은품은 그냥 저냥이지만 안 받은 것보단 낫네요.
658bae45349f415aebfa5204,이유나마미,선택 옵션 선택:●개념원리 중학수학 1-2,5,편하게 구매해서 좋아요 마감시간 좀 늘렸으면 좋겠어요
658bae45349f415aebfa5205,ChoFamily,선택 옵션 선택:●개념원리 RPM 중학수학 1-1,5,구김없이 잘 왔어요\n사은품으로 주신 노트 잘 쓸게요
658bae45349f415aebfa5206,rud1***,선택 옵션 선택:●개념원리 중학수학 3-1,5,포장 꼼꼼했고\n제가 주소를 구 주소 기재해서\n기사님이 택배 다시 되찾아서 경비실 맡겨주시고\n엄청 고생하셨어요.\n\n감사해요.
658bae45349f415aebfa5207,clic****,선택 옵션 선택:●개념원리 중학수학 1-2,5,아이 학원교재로 샀어요. 좋은 수학 교재입니다.잘 받았어요.
658bae45349f415aebfa5208,jiri****,"선택 옵션 도서선택:개념원리 중학수학 1-1,시리즈선택:●●22년1학기",5,책  상태  좋습니다~~인쇄며  색상도  만족해요~아이가  끝까지  잘  풀었으면  하는  마음입니다
658bae45349f415aebfa5209,mgpl***,"선택 옵션 도서선택:개념원리 중학 수학 2-1,시리즈선택:●●22년1학기",5,좋아요. 포장상태도 좋고 배송빠르고.
658bae45349f415aebfa520a,하하하190,"선택 옵션 도서선택:개념원리 RPM 알피엠 중학 수학 2-1,시리즈선택:●●22년1학기",5,배송이 조금 느렸지만 책 내용은 좋아요
658bae45349f415aebfa520b,musi****,선택 옵션 ●●22년2학기,5,학기마다 아이들의 수학 길잡이가 되는 문제집 늘 만족합니다~
658bae45349f415aebfa520c,lsk1***,선택 옵션 선택:●개념원리 중학수학 1-2,5,빠른배송에 만족합니다 \n스티커도 잘받았어요
658bae45349f415aebfa520d,yayo****,선택 옵션 학년선택:●개념원리 RPM 중학수학 2-2,4,수학 더욱 정리가 필요해서 샀어요.
658bae46349f415aebfa520e,osch****,"선택 옵션 도서선택:개념원리 중학 수학 3-1,시리즈선택:●●22년1학기",5,배송이 늦어서 걱정 했는데\n다행히 학원 가기전에 도착했어요 
658bae46349f415aebfa520f,jy77****,"선택 옵션 도서선택:개념원리 중학수학 1-1,시리즈선택:●●22년1학기",5,필요한 문제집 편하게\n빨리 받아볼수 있어서 좋아요
658bae46349f415aebfa5210,lone*********,선택 옵션 ●●22년1학기,5,할인된 가격에 잘 구매했네요...배송도 빠르고 감사합니다^^
658bae46349f415aebfa5211,wonp******,선택 옵션 선택:●개념원리 중학수학 1-1,4,수학 시작할때 무조건 필요한 교재입니다.
658bae46349f415aebfa5212,wonp******,선택 옵션 선택:●개념원리 RPM 중학수학 1-1,4,수학 시작할때 익힘용으로 사용하는 책입니다.
658bae46349f415aebfa5213,신나라맘,선택 옵션 선택:●개념원리 RPM 중학수학 3-1,3,배송날짜가 다르고 좀늦네요 ㅜㅜ박스도 다찢어져서 왔네요 
658bae46349f415aebfa5214,froz****,"선택 옵션 도서선택:개념원리 문제기본서 RPM 중 1-1,시리즈선택:●●22년1학기",5,자기주도 학습 및 예습용으로 샀어요 글자 종이질  문항수 적당해 만족합니다^^
658bae46349f415aebfa5215,k320***,선택 옵션 선택:●개념원리 중학수학 1-2,5,배송 무지 빠르고 상품의 상태가 좋아요.
658bae46349f415aebfa5216,yjh2***,선택 옵션 선택:●개념원리 중학수학 3-1,5,저렴한 가격으로 좋은 물건을 구매했습니다 감사합니다 
658bae46349f415aebfa5217,syr2***,선택 옵션 선택:●개념원리 중학수학 1-1,5,배송도 빠르고 포장상태도 만족합니다 사은품 감사합니다 
658bae46349f415aebfa5218,m201***,선택 옵션 선택:●개념원리 중학수학 1-2,4,아이 학습용으로 구매 책 상태 양호하게 왔습니다. 감사합니다.
