_id,책ID,책 이름,댓글 아이디,댓글 내용
658e833bc3baaf37b89b3326,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ri******,술술 읽히니 금방 읽을 수 있었어요
658e833cc3baaf37b89b3327,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ku****,삶의 의미를 느낄수 있는책입니다
658e833fc3baaf37b89b3328,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ih*****,이 리뷰에는 스포일러가 포함되어있습니다.\n보기
658e8340c3baaf37b89b3329,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,mi*****,인사이트가 있는 책입니다. 잘 읽을게요
658e8341c3baaf37b89b332a,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,kb******,마흔에 읽는 쇼펜하우어
658e8342c3baaf37b89b332b,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,be*******,연말에 나이들어가는 심란함을 잠재우는데 도움이됩니다
658e8343c3baaf37b89b332c,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ba******,마흔이 아니여도 일찍 읽음 좋습니다
658e8344c3baaf37b89b332d,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,fo********,인생에 많은 도움이 되네요
658e8345c3baaf37b89b332e,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,jh*******,쇼펜하우어 관련 책들 중에서 가장 읽기 쉽다는 인상을 받아 부담없이 즐길 수 있었습니다
658e8346c3baaf37b89b332f,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,eu****,인생의 지혜를 배울수 있어요
658e8347c3baaf37b89b3330,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,wi*****,인생의 지혜를 배울수 있습니다
658e8348c3baaf37b89b3331,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,je*****,고독을 통해 내 자신을 더 돌아볼 수 있는가?
658e834bc3baaf37b89b3332,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,je*****,40대를 시작하는 당신에게 또는 40대를 떠나보내는 당신이 한번쯤 읽어보기 좋은 도서... 생각이 많아지는 책인듯~
658e834cc3baaf37b89b3333,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,h1***,40대에 읽기 좋은 인생 지침서를 만난 기분입니다~쉽게 잘 읽혀집니다.
658e834ec3baaf37b89b3334,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,bl******,연말 선물로 보냈는데 좋아하네요
658e834fc3baaf37b89b3335,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,ah*******,"지인분에게 추천했는데, 도움이 많이 된다고 합니다"
658e8350c3baaf37b89b3336,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,lk*****,쉽게 재밌게 잘풀어 쓴 철학집이네요
658e8351c3baaf37b89b3337,658e82fbc3baaf37b89b32f5,마흔에 읽는 쇼펜하우어,Hj********,40대에 공감되는 내용입니다.
